Rank,Player,Age,Elo,    ,HardRaw,ClayRaw,GrassRaw,    ,"<span title=""hard-court elo rating"">hElo</span title=""hard-court elo rating"">","<span title=""clay-court elo rating"">cElo</span title=""clay-court elo rating"">","<span title=""grass-court elo rating"">gElo</span title=""grass-court elo rating"">",    ,Peak Match,Peak Age,Peak Elo
96,John Millman,32.9,1714.8,,1650.2,1569.2,1494.9,,1682.5,1642,1604.8,,2016 Winston-Salem QF,27.2,1845.6
97,Thiago Monteiro,27.9,1711.8,,1497.1,1682.1,1430.8,,1604.4,1696.9,1571.3,,2016 Bordeaux CH R32,21.9,1725.8
98,Steve Johnson,32.3,1711.1,,1636.2,1602.5,1585.3,,1673.7,1656.8,1648.2,,2017 Geneva R16,27.4,1932.3
99,Quentin Halys,25.5,1705.2,,1662.7,1486,1375.2,,1684,1595.6,1540.2,,2022 Saint-Brieuc CH QF,25.4,1731.9
100,Mikael Ymer,23.6,1704.6,,1674.1,1548.1,1509.7,,1689.4,1626.4,1607.2,,2019 Stockholm R32,21.1,1875.2
101,Denis Kudla,29.7,1704.2,,1611,1460.9,1658.5,,1657.6,1582.6,1681.4,,2015 Atlanta Qual,22.9,1772.4
102,Sam Querrey,34.5,1703.3,,1569.9,1619.7,1702.3,,1636.6,1661.5,1702.8,,2012 Paris R16,25.1,1971.5
103,Federico Coria,30.1,1703.2,,1371.4,1696.2,1256.6,,1537.3,1699.7,1479.9,,2021 Bastad SF,29.3,1740.5
104,Maxime Cressy,25,1697,,1641.2,1385.5,1451.9,,1669.1,1541.3,1574.5,,2022 Australian Open R32,24.7,1818.6
105,Pablo Andujar,36.3,1693.4,,1501.6,1661.1,1302.6,,1597.5,1677.2,1498,,2019 Tokyo Qual,33.7,1796.1
106,Roman Safiullin,24.7,1693.3,,1603,1450.8,1411,,1648.2,1572,1552.2,,2021 Doha Aus Open Qualies Qual,23.4,1695.1
107,Egor Gerasimov,29.5,1693.3,,1598.5,1502,1303.6,,1645.9,1597.7,1498.5,,2020 Davis Cup QLS R1,27.3,1791
108,Daniel Elahi Galan,25.9,1692.5,,1490.3,1637.6,1376,,1591.4,1665.1,1534.3,,2022 Tallahassee CH QF,25.8,1720.1
109,Federico Delbonis,31.6,1690.5,,1393.2,1723.1,1176.1,,1541.9,1706.8,1433.3,,2017 Hamburg QF,26.8,1863.1
110,Daniel Altmaier,23.6,1682.5,,1608.1,1630.5,1435.5,,1645.3,1656.5,1559,,2021 Luedenscheid CH F,22.9,1779.3
